Transcript level ProbeID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
TC04000609.hg.1, SYNPO2 ,4.44367019510808,6.04753739537022,5.05838499914863,0.000456941910505267,0.0262631738830994,0.255560924420466
TC05000187.hg.1, C7 ,4.34108746959378,5.24068139951426,7.90785598277762,1.12308396062476e-05,0.00676836177738754,3.79496559290754
TC02001326.hg.1, DES ,4.29439267565535,7.56773936685592,4.30578780893453,0.00146202189296995,0.046130765170263,-0.886888443
TC01003491.hg.1, DPT ,4.21185590262688,5.44608377362591,5.40060643938126,0.000276548859056979,0.0209398020756519,0.746262294971205
TC03001612.hg.1, ABI3BP ,3.81709624975753,6.1903105246981,15.0977923095548,2.46794075719854e-08,0.000718828323912832,8.81252000159012
TC0X001278.hg.1, CHRDL1 ,3.72634401559458,5.44536401310147,5.36713618403895,0.000290256219114067,0.0214567498328945,0.699087742739109
TC04000747.hg.1, MAB21L2 ,3.6911999220579,6.18130918915177,3.93573034646119,0.00266480420931718,0.0607794266667772,-1.477692936
TC06000935.hg.1, PLN ,3.64954987762976,5.07276461079773,3.6703673059315,0.00414129574739773,0.0747865284137222,-1.91102518
TC01003020.hg.1, CASQ2 ,3.61981116069629,4.63131670328417,3.22244865954668,0.00886025790025738,0.108613239683618,-2.6553522
TC11002228.hg.1, MMP7 ,-3.608371235,5.65100156148414,-4.72043925,0.000762721396978888,0.0332000608056863,-0.246972052
TC16000898.hg.1, MYH11 ,3.595629269,8.03904918710067,4.40083625687167,0.00125679027961726,0.0425913603505277,-0.73803296
TC11002234.hg.1, MMP1 ,-3.502458915,4.75062340921059,-5.757714729,0.000166680490263252,0.0177795366993069,1.23852524859475
TC0X001155.hg.1, XIST ,3.50236150902392,7.3864017567136,2.4649574746534,0.0328554681338162,0.215440834886204,-3.916360202
TC01003565.hg.1, ANGPTL1 ,3.47468270666845,3.81453638658067,4.91090638166174,0.000570281728444926,0.028797605754685,0.0384230232119984
TC04001410.hg.1, ADH1B ,3.44646748314081,5.858738122,7.28152492352953,2.32604309867076e-05,0.00804255905929669,3.11852186571851
TC01001686.hg.1, PRELP ,3.43969816522248,5.90539520665827,5.26800192563247,0.00033528605755207,0.0229329858718824,0.558321177109644
TC01003050.hg.1, HMGCS2 ,-3.405912572,7.63218870726368,-3.502840792,0.00549209105184404,0.0855763891403441,-2.187912873
TC04000449.hg.1, BMP3 ,3.21259644338675,5.46528773413542,5.24046959446847,0.000349074943505868,0.0233787390701466,0.518950274149098
TC0X001211.hg.1, NOX1 ,-3.157677163,7.12985013140328,-3.155938892,0.0099333829673545,0.115181184973157,-2.76668444
TC04001366.hg.1, SPARCL1 ,3.15175889862216,6.07392226054406,5.48142280715002,0.000246222099200528,0.0207853771303364,0.859435846352324
TC17001330.hg.1, TMIGD1 ,3.13950680177372,4.05065169015841,3.08810119600037,0.0111650511675186,0.12209574283444,-2.880315658
TC09000323.hg.1, MAMDC2 ,3.09087092059579,4.29242884516966,6.60745741718622,5.3588109132743e-05,0.0110612894504743,2.32969632137641
TC02002500.hg.1, SCN7A ,3.05372479115828,3.34523190265299,3.97001853375718,0.00251877432032883,0.0591316649109688,-1.422247386
TC05001911.hg.1, SPINK1 ,-3.012426531,6.87207222713375,-5.495965103,0.000241152897465447,0.0206453336189142,0.879690524571329
TC05000218.hg.1, ITGA2 ,-3.005255227,6.09539886017721,-8.254001985,7.64757376968712e-06,0.00612874823817778,4.146960508
TC19000202.hg.1, CNN1 ,3.00155244010882,7.0305650418329,3.05167321226823,0.0118895394457371,0.126186766813921,-2.941346216
TC07000159.hg.1, NFE2L3 ,-2.992244678,6.18253032668734,-10.82106881,6.21166395630411e-07,0.00257022252926418,6.34166870164405
TC20000603.hg.1, FERMT1 ,-2.948190193,6.67251807714133,-5.506815102,0.000237443490283666,0.0205211118446997,0.894780663943424
TC15000953.hg.1, SYNM ,2.93217884763923,6.55958731292417,3.32803002919827,0.00739444050175528,0.0994049042137414,-2.478893002
TC12001181.hg.1, MFAP5 ,2.90224542250374,5.31014572614735,3.69642470983892,0.00396443177787302,0.0731511308924488,-1.868167899
TC03002108.hg.1, CLDN1 ,-2.901517818,6.50526307821391,-7.656816637,1.49584041504637e-05,0.0070152163616274,3.5301100995878
TC09001334.hg.1, OGN ,2.8645913983771,3.34696400343247,4.46452091592196,0.00113644761405588,0.0403960156683783,-0.63900243
TC08001627.hg.1, CCAT1 ,-2.849208226,5.11621175886831,-5.706860315,0.000178946913855289,0.0180955486526102,1.16965757330304
TC11001415.hg.1, LYVE1 ,2.84688780541287,4.7977325790583,4.97899302865871,0.000514630368054537,0.0275784783026672,0.139090012630875
TC13000320.hg.1, MIR622 ,-2.845496137,7.37287812755863,-5.082815141,0.000440606797245698,0.0257414423736465,0.291202513198259
TC04000584.hg.1, ANK2 ,2.84485141517081,4.59470893024565,5.33231394067938,0.000305290494672295,0.0220368490847229,0.649819044102048
TC01003697.hg.1, LMOD1 ,2.8443994421587,6.31432657508104,3.40350117591548,0.00650125200889149,0.0931435414862644,-2.353054139
TC15000752.hg.1, KIAA1199 ,-2.83661324,5.58974391628571,-4.869282213,0.000607426227797024,0.0301036682100699,-0.023472074
TC06001110.hg.1, VIP ,2.7989212984234,4.71697010897067,4.26742592372945,0.00155459705663708,0.0477295812909084,-0.947317011
TC01003624.hg.1, FAM129A ,2.7828882137761,5.30301786110712,3.90254707824701,0.00281457051633925,0.062536848306173,-1.531478146
TC17001825.hg.1, ABCA8 ,2.78135251579738,3.6141740409277,6.11581512201013,0.000102116567528452,0.0151293417895147,1.71196010363547
TC0X000571.hg.1, SLC6A14 ,-2.751156384,4.32836168910913,-4.946174484,0.000540697382134724,0.0281172927900329,0.0906571338374018
TC02000448.hg.1, ACTG2 ,2.74598877440708,6.15007331900044,3.21612786231393,0.00895693627819389,0.109285470094648,-2.665928128
TC16000558.hg.1, CDH3 ,-2.731106005,6.41673115041212,-9.972661426,1.34166691610876e-06,0.00305220567499154,5.6899496522074
TC01002246.hg.1, AGMAT ,-2.698615422,6.27300948476554,-5.929171318,0.000131538661363492,0.0164417979836411,1.46770972790664
TC06001976.hg.1, BVES ,2.68401193231819,5.16061771228051,3.1147850137369,0.0106629990779078,0.119615458134005,-2.835613417
TC09000312.hg.1, PGM5 ,2.64259781473532,6.08832079251562,3.11281533074313,0.0106992595362827,0.119615458134005,-2.838912956
